,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavaratti,IN,10.5669,72.642,82.69,69,26,3.4,scattered clouds
1,Tuatapere,NZ,-46.1333,167.6833,52.68,97,100,3.65,light rain
2,Quang Ngai,VN,15.1167,108.8,74.97,93,6,3.51,clear sky
3,Shelburne,CA,44.0787,-80.2041,28.76,83,87,10.27,overcast clouds
4,Saravan,AM,39.7196,45.6483,39.49,83,98,1.95,overcast clouds
5,Albany,US,42.6001,-73.9662,41.95,66,84,5.01,broken clouds
6,Bethel,US,41.3712,-73.414,44.02,61,75,13.8,broken clouds
7,Busselton,AU,-33.65,115.3333,52.48,85,70,11.03,broken clouds
8,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,20,3.44,few clouds
9,Qaanaaq,GL,77.484,-69.3632,-17.0,77,11,8.37,few clouds
10,Yatou,CN,37.15,122.3833,51.06,73,0,5.37,clear sky
11,Ngaoundere,CM,7.3167,13.5833,73.53,37,6,6.44,clear sky
12,Port Alfred,ZA,-33.5906,26.891,64.18,91,100,9.75,overcast clouds
13,Am Timan,TD,11.0297,20.2827,82.81,22,41,4.63,scattered clouds
14,Kieta,PG,-6.2167,155.6333,77.5,82,96,3.53,overcast clouds
15,Georgetown,MY,5.4112,100.3354,77.95,98,40,0.0,thunderstorm with light rain
16,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,8.05,broken clouds
17,Mahebourg,MU,-20.4081,57.7,71.89,60,20,3.44,few clouds
18,Esperance,AU,-33.8667,121.9,59.22,77,75,15.97,broken clouds
19,Hithadhoo,MV,-0.6,73.0833,81.5,72,28,11.01,scattered clouds
20,Provideniya,RU,64.3833,-173.3,35.46,99,100,11.39,moderate rain
21,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
22,Yulara,AU,-25.2406,130.9889,70.48,79,19,15.99,few clouds
23,Kalemie,CD,-5.9475,29.1947,73.27,81,100,3.15,light rain
24,Ponta Do Sol,PT,32.6667,-17.1,75.13,60,72,8.25,broken clouds
25,Bella Union,UY,-30.2752,-57.6007,93.7,22,1,12.12,clear sky
26,Laguna,US,38.421,-121.4238,57.02,86,0,0.0,clear sky
27,Mehamn,NO,71.0357,27.8492,42.71,93,75,8.05,light intensity drizzle
28,Ixtapa,MX,20.7,-105.2,84.99,45,0,3.13,clear sky
29,Jamestown,US,42.097,-79.2353,31.71,78,100,13.8,mist
30,Tasiilaq,GL,65.6145,-37.6368,25.38,90,99,4.72,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,60.46,36,20,13.8,few clouds
32,Nevelsk,RU,46.6733,141.8633,29.16,67,25,1.54,scattered clouds
33,Kodiak,US,57.79,-152.4072,42.31,100,100,14.97,light rain
34,Dikson,RU,73.5069,80.5464,6.93,92,100,21.05,light snow
35,Cahabon,GT,15.5667,-89.8167,75.51,76,73,2.89,light rain
36,Butaritari,KI,3.0707,172.7902,80.71,77,100,16.31,overcast clouds
37,Sao Filipe,CV,14.8961,-24.4956,80.24,67,55,6.76,broken clouds
38,Khani,GE,41.9563,42.9566,42.37,71,23,5.68,few clouds
39,Klaksvik,FO,62.2266,-6.589,49.12,85,100,35.41,light rain
40,Nanortalik,GL,60.1432,-45.2371,21.4,77,39,8.81,scattered clouds
41,Saint-Augustin,CA,51.226,-58.6502,29.34,95,100,27.07,snow
42,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,20.71,scattered clouds
43,Bredasdorp,ZA,-34.5322,20.0403,61.52,62,100,9.19,overcast clouds
44,Saldanha,ZA,-33.0117,17.9442,66.25,71,100,22.62,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,52.16,97,100,0.87,light rain
46,Wilmington,US,34.2257,-77.9447,50.0,46,0,10.0,clear sky
47,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,40,14.97,scattered clouds
48,Lata,PT,40.1629,-8.3327,59.92,84,65,6.04,broken clouds
49,Yeppoon,AU,-23.1333,150.7333,65.98,65,20,8.9,few clouds
50,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,27.63,broken clouds
51,Lompoc,US,34.6391,-120.4579,64.78,60,0,11.5,clear sky
52,Victoria,HK,22.2855,114.1577,77.38,84,3,5.99,clear sky
53,Nikolskoye,RU,59.7035,30.7861,31.91,74,92,7.94,overcast clouds
54,Mitsamiouli,KM,-11.3847,43.2844,78.76,78,21,8.68,few clouds
55,Port Lincoln,AU,-34.7333,135.8667,64.38,65,100,20.11,overcast clouds
56,Hilo,US,19.7297,-155.09,72.25,83,0,4.0,clear sky
57,Thompson,CA,55.7435,-97.8558,-2.04,71,40,9.22,scattered clouds
58,Bluff,NZ,-46.6,168.3333,51.73,92,100,11.9,light rain
59,Ostrovnoy,RU,68.0531,39.5131,37.22,94,100,13.96,overcast clouds
60,Jacareacanga,BR,-6.2222,-57.7528,93.96,41,71,2.46,broken clouds
61,Yellowknife,CA,62.456,-114.3525,12.72,92,75,8.05,broken clouds
62,Anadyr,RU,64.75,177.4833,21.7,92,100,24.61,snow
63,Catuday,PH,16.2923,119.8062,79.92,75,37,9.1,scattered clouds
64,Souillac,MU,-20.5167,57.5167,71.98,60,20,3.44,few clouds
65,Belmonte,BR,-15.8631,-38.8828,79.39,75,97,5.68,light rain
66,Kharitonovo,RU,61.4009,47.4978,13.21,95,10,2.13,clear sky
67,Ribeira Grande,PT,38.5167,-28.7,64.78,59,20,11.5,few clouds
68,Dalbandin,PK,28.8947,64.4101,61.75,17,8,3.4,clear sky
69,Carnarvon,AU,-24.8667,113.6333,65.79,63,91,15.99,overcast clouds
70,Port Elizabeth,ZA,-33.918,25.5701,68.29,74,0,9.22,clear sky
71,Cockburn Town,TC,21.4612,-71.1419,81.77,71,15,14.94,few clouds
72,Mar Del Plata,AR,-38.0023,-57.5575,64.42,77,0,11.5,moderate rain
73,Rikitea,PF,-23.1203,-134.9692,72.54,88,100,7.76,moderate rain
74,Atuona,PF,-9.8,-139.0333,78.37,72,84,11.48,broken clouds
75,Bengkulu,ID,-3.8004,102.2655,75.81,89,100,7.7,light rain
76,Palana,RU,59.1167,159.9667,17.73,89,96,14.65,light snow
77,Eisenberg,DE,50.9667,11.9,46.83,93,100,4.0,overcast clouds
78,Bukama,CD,-9.2,25.85,70.79,87,38,0.31,moderate rain
79,Sorland,NO,67.667,12.6934,44.46,59,46,12.1,scattered clouds
80,Shimoda,JP,34.6667,138.95,54.1,81,93,8.41,overcast clouds
81,Samarai,PG,-10.6167,150.6667,82.53,79,99,12.21,overcast clouds
82,Kharabali,RU,47.4196,47.2568,45.36,80,99,11.41,overcast clouds
83,Pisco,PE,-13.7,-76.2167,69.03,77,0,10.36,clear sky
84,Burnie,AU,-41.0667,145.9167,49.95,75,16,7.05,few clouds
85,Kenai,US,60.5544,-151.2583,32.14,72,20,6.91,few clouds
86,Ahipara,NZ,-35.1667,173.1667,60.31,95,100,7.4,light rain
87,Puerto Ayora,EC,-0.7393,-90.3518,75.16,87,48,5.01,scattered clouds
88,Codrington,AU,-38.2667,141.9667,43.93,95,2,8.61,clear sky
89,East London,ZA,-33.0153,27.9116,65.34,94,100,10.36,light intensity drizzle
90,Hermanus,ZA,-34.4187,19.2345,62.8,65,96,8.77,overcast clouds
91,Mezen,RU,65.8522,44.24,25.63,93,100,10.92,overcast clouds
92,Prince Albert,CA,53.2001,-105.7677,4.95,66,20,9.22,few clouds
93,Portland,US,45.5234,-122.6762,41.43,64,40,23.02,scattered clouds
94,Natal,BR,-5.795,-35.2094,86.65,61,40,16.11,scattered clouds
95,Kapaa,US,22.0752,-159.319,75.52,86,75,9.22,broken clouds
96,Sochaczew,PL,52.2294,20.2384,32.22,69,6,6.71,clear sky
97,Marck,FR,50.949,1.9433,52.03,70,56,24.18,broken clouds
98,Northam,GB,51.0333,-4.2167,51.62,80,6,19.57,clear sky
99,Camacha,PT,33.0833,-16.3333,69.22,68,20,12.66,few clouds
100,Yerbogachen,RU,61.2767,108.0108,-15.18,98,66,3.67,broken clouds
101,Uglyanets,RU,51.8191,39.5961,28.49,96,97,8.41,overcast clouds
102,Tyshkivka,UA,48.4967,30.9423,33.15,99,100,12.1,snow
103,Coahuayana,MX,18.7333,-103.6833,88.16,53,5,2.64,clear sky
104,Aswan,EG,24.0934,32.907,70.02,28,100,9.44,overcast clouds
105,Avarua,CK,-21.2078,-159.775,75.25,83,75,9.22,broken clouds
106,Otofuke,JP,42.9917,143.2003,30.65,82,5,4.56,clear sky
107,Cape Town,ZA,-33.9258,18.4232,65.26,63,40,24.16,scattered clouds
108,Karratha,AU,-20.7377,116.8463,70.2,52,0,20.65,clear sky
109,Progreso,MX,21.2833,-89.6667,84.11,78,93,16.17,light rain
110,Mangrol,IN,21.1167,70.1167,78.62,60,2,4.03,clear sky
111,Faanui,PF,-16.4833,-151.75,78.89,77,32,1.1,scattered clouds
112,Wajima,JP,37.4,136.9,54.27,66,22,2.86,few clouds
113,Nikki,BJ,9.9401,3.2108,83.84,27,57,3.67,broken clouds
114,Barrow,US,71.2906,-156.7887,33.82,80,100,13.8,overcast clouds
115,Kaitangata,NZ,-46.2817,169.8464,51.76,95,100,3.04,overcast clouds
116,Lorengau,PG,-2.0226,147.2712,80.6,70,100,4.59,overcast clouds
117,Derzhavinsk,KZ,51.1,66.3167,15.15,96,51,1.97,broken clouds
118,Pangnirtung,CA,66.1451,-65.7125,-4.09,96,83,3.85,broken clouds
119,Ahuimanu,US,21.4447,-157.8378,74.86,91,23,1.99,moderate rain
120,Saskylakh,RU,71.9167,114.0833,-17.68,98,100,7.2,overcast clouds
121,Darhan,MN,49.4867,105.9228,29.64,47,99,3.62,overcast clouds
122,Bambanglipuro,ID,-7.95,110.2833,75.51,95,100,6.17,light rain
123,Najran,SA,17.4924,44.1277,74.05,24,1,3.58,clear sky
124,Yakima,US,46.4665,-120.6678,35.71,79,87,1.01,overcast clouds
125,Salalah,OM,17.0151,54.0924,78.28,72,4,3.33,clear sky
126,Prince Rupert,CA,54.3161,-130.3201,47.89,58,0,14.97,clear sky
127,Stralsund,DE,54.3091,13.0818,36.01,66,6,21.54,clear sky
128,Alofi,NU,-19.0595,-169.9187,66.09,100,22,1.14,few clouds
129,Hutchinson,US,38.0608,-97.9298,39.74,65,100,8.05,overcast clouds
130,Dhidhdhoo,MV,6.8833,73.1,82.35,73,62,7.34,broken clouds
131,Wukari,NG,7.85,9.7833,83.75,31,91,0.69,overcast clouds
132,Sitka,US,57.0531,-135.33,40.68,53,14,5.68,few clouds
133,Hofn,IS,64.2539,-15.2082,48.22,87,100,19.57,light intensity drizzle
134,Corowa,AU,-36.0333,146.3833,47.41,92,0,4.65,clear sky
135,Aguadilla,PR,18.4275,-67.1541,86.94,74,28,1.99,scattered clouds
136,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,75,17.92,broken clouds
137,New Norfolk,AU,-42.7826,147.0587,45.72,75,8,2.37,clear sky
138,Gurupi,BR,-11.7292,-49.0686,93.88,38,42,1.23,scattered clouds
139,Saryg-Sep,RU,51.5,95.6,3.11,98,78,2.86,broken clouds
140,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,49,7.78,scattered clouds
141,Hobyo,SO,5.3505,48.5268,81.1,75,7,15.61,clear sky
142,Katsuura,JP,35.1333,140.3,58.01,73,100,12.41,overcast clouds
143,Kallithea,GR,37.95,23.7,70.52,83,40,10.0,scattered clouds
144,Kabare,CD,-2.4683,28.8242,61.79,95,93,1.59,overcast clouds
145,Hasaki,JP,35.7333,140.8333,52.21,55,100,12.48,overcast clouds
146,Lebu,CL,-37.6167,-73.65,63.43,71,92,10.6,overcast clouds
147,Leningradskiy,RU,69.3833,178.4167,8.67,95,100,7.49,overcast clouds
148,Saint-Pierre,RE,-21.3393,55.4781,73.08,60,0,11.5,clear sky
149,Batemans Bay,AU,-35.7167,150.1833,47.01,88,4,4.94,clear sky
150,Vardo,NO,70.3705,31.1107,40.98,93,75,16.11,broken clouds
151,Sarangani,PH,5.4033,125.4636,79.79,84,100,17.4,moderate rain
152,Hovd,MN,48.0056,91.6419,22.24,38,79,5.91,broken clouds
153,Tiksi,RU,71.6872,128.8694,-14.19,98,100,3.74,overcast clouds
154,Sorong,ID,-0.8833,131.25,80.58,82,100,3.29,overcast clouds
155,Vao,NC,-22.6667,167.4833,75.09,84,89,11.14,overcast clouds
156,Eenhana,NA,-17.4667,16.3333,88.77,22,96,9.28,overcast clouds
157,Richards Bay,ZA,-28.783,32.0377,73.29,89,87,5.19,overcast clouds
158,Padang,ID,-0.9492,100.3543,73.45,85,100,3.89,light rain
159,Garowe,SO,8.4054,48.4845,77.54,59,2,19.75,clear sky
160,Beloha,MG,-25.1667,45.05,72.99,71,3,6.73,clear sky
161,Aquiraz,BR,-3.9014,-38.3911,89.46,56,8,15.61,clear sky
162,Kanpur,IN,26.4667,80.35,65.77,39,0,5.86,clear sky
163,Santa Rita,BR,-7.1139,-34.9781,84.87,61,75,11.5,broken clouds
164,Rozkishne,UA,48.5074,39.3004,46.83,85,100,5.08,overcast clouds
165,Big Rapids,US,43.6981,-85.4837,33.87,93,100,11.5,light snow
166,Pevek,RU,69.7008,170.3133,-3.5,98,99,3.53,overcast clouds
167,Mahibadhoo,MV,3.7833,72.9667,81.45,79,65,12.88,broken clouds
168,Airai,TL,-8.9266,125.4092,61.97,90,100,1.66,overcast clouds
169,Norman Wells,CA,65.282,-126.8329,9.77,83,74,2.19,broken clouds
170,Salinopolis,BR,-0.6136,-47.3561,83.68,66,90,8.79,overcast clouds
171,Orlik,RU,52.5178,99.825,-0.63,89,34,5.14,scattered clouds
172,Ladario,BR,-19.0047,-57.6017,91.69,27,0,4.61,clear sky
173,Upernavik,GL,72.7868,-56.1549,9.81,79,100,8.28,overcast clouds
174,Bjornevatn,NO,69.6672,29.9847,37.02,86,75,4.61,broken clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,79.52,58,81,1.99,broken clouds
176,Grabouw,ZA,-34.1515,19.0151,61.48,70,100,7.63,overcast clouds
177,Porto Novo,BJ,6.4965,2.6036,85.82,73,61,8.3,broken clouds
178,Macas,EC,-2.3167,-78.1167,73.15,83,75,3.44,broken clouds
179,Villa Maria,AR,-32.4075,-63.2402,95.83,22,1,20.02,clear sky
180,Cherskiy,RU,68.75,161.3,-7.65,99,100,7.0,overcast clouds
181,Sharlyk,RU,52.9167,54.75,27.57,85,100,19.44,overcast clouds
182,Bilibino,RU,68.0546,166.4372,-15.84,100,98,2.04,overcast clouds
183,San Cristobal,VE,7.7669,-72.225,80.78,63,97,4.36,overcast clouds
